user_id,email,first_name,h_address,h_city,h_zip,h_state,is_driver,is_active,is_accepting_rides,last_name,phone_number,user_name,w_address,w_city,w_zip,w_state,batch_number
1017,jsellwoodg@wisc.edu,Jaine,434 Pierstorff Hill,Wilmington,DE,19892,f,t,f,Sellwood,302-836-7801,jsellwoodg,39 Merry Hill,Gadsden,AL,35905,1
1018,wviani@homestead.com,Wain,4 Sommers Way,Charlotte,NC,28210,f,f,t,Vian,704-338-2790,wviani,99 Delaware Hill,Athens,GA,30605,1
1019,gtootellj@latimes.com,Geneva,27592 La Follette Trail,Anaheim,CA,92812,f,f,f,Tootell,714-167-0152,gtootellj,61696 Algoma Park,Terre Haute,IN,47812,1
1020,cgeertzk@senate.gov,Cissy,5 Spaight Court,Spring,TX,77386,f,f,t,Geertz,281-310-3238,cgeertzk,3 Dexter Alley,Frederick,MD,21705,1
1001,gpichmann0@artisteer.com,Grady,88 Carpenter Plaza,New York City,NY,NY,f,f,f,Pichmann,212-374-3488,gpichmann0,88 Esker Point,Des Moines,IA,50347,1
1002,smigheli1@indiatimes.com,Salvidor,6371 Elka Court,Columbus,OH,43220,t,t,t,Migheli,614-513-2776,smigheli1,35747 3rd Park,Philadelphia,PA,19131,1
1003,fbraunroth2@ebay.co.uk,Fabien,830 Pierstorff Parkway,Omaha,NE,68197,t,t,t,Braunroth,402-694-8099,fbraunroth2,747 Crownhardt Place,New York City,NY,10270,1
1004,aocullen3@google.com.au,Aldon,86978 Sage Junction,Elmira,NY,14905,t,f,f,O'Cullen,607-732-5313,aocullen3,2 Killdeer Avenue,Norwalk,CT,06859,1
1005,hgledhill4@hatena.ne.jp,Hilda,496 High St,Morgantown,WV,26505,t,t,t,Gledhill,239-528-0279,hgledhill4,45476 Oriole Drive,Winston Salem,NC,27110,1
1006,sdehoogh5@cnn.com,Simonne,215 Twin Pines Plaza,Seattle,WA,98115,f,f,t,De Hoogh,206-506-8925,sdehoogh5,68 Almo Terrace,New York City,NY,10029,1
1007,dosullivan6@loc.gov,Darren,836 Saint Paul Trail,Columbus,OH,43210,t,t,t,O Sullivan,614-197-3998,dosullivan6,8445 Novick Hill,Gainesville,GA,30506,1
1008,ddorro7@issuu.com,Donnell,8 Erie Court,Fresno,CA,93786,f,t,f,Dorro,559-476-1222,ddorro7,7175 Ruskin Point,Santa Monica,CA,90405,1
1009,bmacvean8@shop-pro.jp,Brynne,2 Ridge Oak Plaza,Southfield,MI,48076,t,f,f,MacVean,734-143-5188,bmacvean8,39545 Canary Trail,Durham,NC,27710,1
1010,tcurd9@illinois.edu,Tobe,946 Fulton St,Brooklyn,NY,11238,t,t,t,Curd,646-919-8954,tcurd9,127 Dunning Plaza,Saint Louis,MO,63131,1
1011,medmundsa@tiny.cc,Marilyn,357 patteson Drive,Morgantown,WV,26505,t,t,t,Edmunds,213-600-8430,medmundsa,6 Bay Road,Columbia,MO,65218,1
1012,wmatissoffb@facebook.com,Wynne,4 Goodland Point,Oklahoma City,OK,73167,f,f,t,Matissoff,405-888-7795,wmatissoffb,1 Lakeland Way,Shawnee Mission,KS,66215,1
1013,jlawfulc@simplemachines.org,Jozef,31 Tomscot Hill,Spokane,WA,99220,f,t,t,Lawful,509-805-2290,jlawfulc,492 Quincy Road,Houston,TX,77035,1
1014,flancashired@slideshare.net,Faythe,2626 Babcock Road,San Antonio,TX,78229,t,t,t,Lancashire,216-591-6593,flancashired,1008 Pleasure Terrace,San Diego,CA,92176,1
1015,llynnitte@creativecommons.org,Lorita,0889 Randy Way,Charlotte,NC,28235,t,f,t,Lynnitt,704-705-3599,llynnitte,05579 Clarendon Avenue,Los Angeles,CA,90015,1
1016,modooghainef@reference.com,Marcellina,300 Jenna Place,Boise,ID,83757,t,t,f,O'Dooghaine,208-387-2634,modooghainef,27040 Carioca Crossing,Detroit,MI,48242,1
1021,lozintsevl@freewebs.com,Lynn,112 Silo CT,Columbia,SC,29201,t,t,t,Ozintsev,704-108-6483,lozintsevl,38 Muir Plaza,Pittsburgh,PA,15210,1
2,thom@thom.com,thom,thom,thom,33333,MA,f,f,f,thom,3453453455,thom,thom,thom,33333,MA,1
3,tommy@tommy.com,tom,tommy,tommy,34443,KS,f,f,f,maestas,5675675677,tommy,tommy,tommy,34443,KS,2
5,guesttwo@gm.com,guesttwo,guesttwo,guesttwo,23423,MD,f,f,f,guesttwo,2342342344,guesttwo,guesttwo,guesttwo,23423,MD,4
4,guest1@guest.com,Guestlyt,guest,guest,23423,MA,t,t,f,Guestner,5055085555,guest,guest,guest,23423,MA,4
